,fees_R_X,fees_R_Y
147,0.000010095073336365207774991970780312929504163288643325,3401.1511974387420554069658686604006010276694199510
148,-0.000010095073336365207774991970780312929504163288643325,-3401.1511974387420554069658686604006010276694199510
149,0E-54,0E-46
150,0E-54,0E-46
151,0E-54,0E-46
152,0E-54,0E-46
153,0E-54,0E-46
154,0E-54,0E-46
155,0E-54,0E-46
156,0E-54,0E-46
157,0.000013075659774263531912452412104324192301212452337059,5442.6387410419640987339091367105650600302708992142
158,-0.000013075659774263531912452412104324192301212452337059,-5442.6387410419640987339091367105650600302708992142
159,0E-54,0E-46
160,0E-54,0E-46
161,0E-54,0E-46
162,0E-54,0E-46
163,0E-54,0E-46
164,0E-54,0E-46
165,0E-54,0E-46
166,0E-54,0E-46
167,0.0000099579760180076676953862106004448187652455340882694,3328.2551525660352778661503930650042362863359240288
168,-0.0000099579760180076676953862106004448187652455340882694,-3328.2551525660352778661503930650042362863359240288
169,0E-54,0E-46
170,0E-54,0E-46
171,0E-54,0E-46
172,0E-54,0E-46
173,0E-54,0E-46
174,0E-54,0E-46
175,0E-54,0E-46
176,0E-54,0E-46
177,0.000010113874711627785350876488750878676988382802613476,3410.4554830141074341018722854913080262989189492957
178,-0.000010113874711627785350876488750878676988382802613476,-3410.4554830141074341018722854913080262989189492957
179,0E-54,0E-46
180,0E-54,0E-46
181,0E-54,0E-46
182,0E-54,0E-46
183,0E-54,0E-46
184,0E-54,0E-46
185,0E-54,0E-46
186,0E-54,0E-46
187,0.000010119273282688348926999233905652549185351786161077,3413.1347361229033770110189902644310832861160028956
188,-0.000010119273282688348926999233905652549185351786161077,-3413.1347361229033770110189902644310832861160028956
189,0E-54,0E-46
190,0E-54,0E-46
191,0E-54,0E-46
192,0E-54,0E-46
193,0E-54,0E-46
194,0E-54,0E-46
195,0E-54,0E-46
196,0E-54,0E-46
197,0.000013197677420343945309652551957282734123776227167621,5509.6101360714991893461940613210574256523606329164
198,-0.000013197677420343945309652551957282734123776227167621,-5509.6101360714991893461940613210574256523606329164
199,0E-54,0E-46
200,0E-54,0E-46
201,0E-54,0E-46
202,0E-54,0E-46
203,0E-54,0E-46
204,0E-54,0E-46
205,0E-54,0E-46
206,0E-54,0E-46
207,0.000010028618412935761682114449200810522287512701575480,3364.5705064368699584306871756832499682928186624192
208,-0.000010028618412935761682114449200810522287512701575480,-3364.5705064368699584306871756832499682928186624192
209,0E-54,0E-46
210,0E-54,0E-46
211,0E-54,0E-46
212,0E-54,0E-46
213,0E-54,0E-46
214,0E-54,0E-46
215,0E-54,0E-46
216,0E-54,0E-46
217,0.000003338384860183478380503000976929722566719955191661,2259.0790693582795549628716835963619945308690173962
218,-0.000003338384860183478380503000976929722566719955191661,-2259.0790693582795549628716835963619945308690173962
219,0E-54,0E-46
220,0E-54,0E-46
221,0E-54,0E-46
222,0E-54,0E-46
223,0E-54,0E-46
224,0E-54,0E-46
225,0E-54,0E-46
226,0E-54,0E-46
227,0.000010142749969060122893703913131750336556470535505264,3424.8752355637296869024133636426982963800782412892
228,-0.000010142749969060122893703913131750336556470535505264,-3424.8752355637296869024133636426982963800782412892
229,0E-54,0E-46
230,0E-54,0E-46
231,0E-54,0E-46
232,0E-54,0E-46
233,0E-54,0E-46
234,0E-54,0E-46
235,0E-54,0E-46
236,0E-54,0E-46
237,0.000013680511492802673715954754479627094726558447449835,5789.6939892722975285842090472868252880995928847249
238,-0.000013680511492802673715954754479627094726558447449835,-5789.6939892722975285842090472868252880995928847249
239,0E-54,0E-46
240,0E-54,0E-46
241,0E-54,0E-46
242,0E-54,0E-46
243,0E-54,0E-46
244,0E-54,0E-46
245,0E-54,0E-46
246,0E-54,0E-46
247,0.000010017457983113935269827383394863158887400485335630,3357.8240116466049962130219109149673194945899843878
248,-0.000010017457983113935269827383394863158887400485335630,-3357.8240116466049962130219109149673194945899843878
249,0E-54,0E-46
250,0E-54,0E-46
251,0E-54,0E-46
252,0E-54,0E-46
253,0E-54,0E-46
254,0E-54,0E-46
255,0E-54,0E-46
256,0E-54,0E-46
257,0.000012724758375569152965637371044039269650362720478114,5244.3613223475369405458982152767768454830537803848
258,-0.000012724758375569152965637371044039269650362720478114,-5244.3613223475369405458982152767768454830537803848
259,0E-54,0E-46
260,0E-54,0E-46
261,0E-54,0E-46
262,0E-54,0E-46
263,0E-54,0E-46
264,0E-54,0E-46
265,0E-54,0E-46
266,0E-54,0E-46
267,0.000003533310757160001936207061648287155134079957949571,2362.4480443292625502020265579248707475292726245784
268,-0.000003533310757160001936207061648287155134079957949571,-2362.4480443292625502020265579248707475292726245784
269,0E-54,0E-46
270,0E-54,0E-46
271,0E-54,0E-46
272,0E-54,0E-46
273,0E-54,0E-46
274,0E-54,0E-46
275,0E-54,0E-46
276,0E-54,0E-46
277,0.000010030849320732315411713255862021108884039681484892,3364.1930503825796133510230890172052555128914271011
278,-0.000010030849320732315411713255862021108884039681484892,-3364.1930503825796133510230890172052555128914271011
279,0E-54,0E-46
280,0E-54,0E-46
281,0E-54,0E-46
282,0E-54,0E-46
283,0E-54,0E-46
284,0E-54,0E-46
285,0E-54,0E-46
286,0E-54,0E-46
287,0.000010046247137659146627693493244385193822768116377592,3372.2188445870437272665324048762597644361044937510
288,-0.000010046247137659146627693493244385193822768116377592,-3372.2188445870437272665324048762597644361044937510
289,0E-54,0E-46
290,0E-54,0E-46
291,0E-54,0E-46
292,0E-54,0E-46
293,0E-54,0E-46
294,0E-54,0E-46
295,0E-54,0E-46
296,0E-54,0E-46
297,0.000003286049604161619586153732493122698916194722505985,2232.9049387877301289869800729530243740107833379318
298,-0.000003286049604161619586153732493122698916194722505985,-2232.9049387877301289869800729530243740107833379318
299,0E-54,0E-46
300,0E-54,0E-46
301,0E-54,0E-46
302,0E-54,0E-46
303,0E-54,0E-46
304,0E-54,0E-46
305,0E-54,0E-46
306,0E-54,0E-46
307,0.000010060175407218094779035466798736153168312848266876,3379.2045261399872212260209544005962086838083210592
308,-0.000010060175407218094779035466798736153168312848266876,-3379.2045261399872212260209544005962086838083210592
309,0E-54,0E-46
310,0E-54,0E-46
311,0E-54,0E-46
312,0E-54,0E-46
313,0E-54,0E-46
314,0E-54,0E-46
315,0E-54,0E-46
316,0E-54,0E-46
317,0.000010404465152062123339190426637876630010426708590376,3561.7290978702799201808816384372256947109216607771
318,-0.000010404465152062123339190426637876630010426708590376,-3561.7290978702799201808816384372256947109216607771
319,0E-54,0E-46
320,0E-54,0E-46
321,0E-54,0E-46
322,0E-54,0E-46
323,0E-54,0E-46
324,0E-54,0E-46
325,0E-54,0E-46
326,0E-54,0E-46
327,0.000010193365677071646137634908823492000775533257009865,3450.1294831337115476690254129448804889322936263221
328,-0.000010193365677071646137634908823492000775533257009865,-3450.1294831337115476690254129448804889322936263221
329,0E-54,0E-46
330,0E-54,0E-46
331,0E-54,0E-46
332,0E-54,0E-46
333,0E-54,0E-46
334,0E-54,0E-46
335,0E-54,0E-46
336,0E-54,0E-46
337,0.000010211062183763356673796678627072045146202067026503,3459.0125137303756803507824287005873778954551904053
338,-0.000010211062183763356673796678627072045146202067026503,-3459.0125137303756803507824287005873778954551904053
339,0E-54,0E-46
340,0E-54,0E-46
341,0E-54,0E-46
342,0E-54,0E-46
343,0E-54,0E-46
344,0E-54,0E-46
345,0E-54,0E-46
346,0E-54,0E-46
347,0.000010205854180866524202550393975377817592830645019465,3456.4077973787126709778831643735668620056551630343
348,-0.000010205854180866524202550393975377817592830645019465,-3456.4077973787126709778831643735668620056551630343
349,0E-54,0E-46
350,0E-54,0E-46
351,0E-54,0E-46
352,0E-54,0E-46
353,0E-54,0E-46
