,tau,fees_R_X,fees_R_Y
99,197930,0.0000037074811572666113998004359716830381672620630257003,2364.0159131421095128254143372604862338323757850266
100,197940,-0.0000036891433452134326610567234953922402018673829055533,-2356.7525012464671390356507677351221669676883570479
101,197950,0.0000037032498607314078650742721948465820972226671204420,2362.3530304328406119874002200903559125343001473320
102,197960,-0.0000039447366709177360809637824209010921115893785028711,-2462.7169630596086140844978222401064704146381014303
103,197970,0.0000034498491866838874367203902241288779533187420724520,2246.7822470804399297316395250654537182161821801062
104,197980,5.2870794619190980292187162929883353641663810344013E-7,229.42105076577135806548680416205398268730297844021
105,197990,-4.6292617963645071300782631570792817753103100160493E-7,-199.22021973158630314662209382871454113821058424669
106,198000,-0.0000039007922131293132975698602289640992417671468762772,-2476.4122092786711796052949561237787075018762824801
107,198010,0.0000040417375549250855254665604558143904549456117184963,2537.6291116051109038287894784320178570812680800572
108,198020,-0.0000010384979946824085294784767721207388277555420394105,-593.66960138223856712369515249141900845903952735162
109,198030,-0.0000030480700217871849793140317484128013502699861701687,-1963.5484642367808020740229754361579346541523367685
110,198040,5.9644505826732759467622228632834539483372506791162E-7,286.17292123836446947772841545852783724700753350275
111,198050,0.0000050063719555278134662166787914108370260779944238258,2991.8519699873723332072444559797210042454820789179
112,198060,-0.0000055210792884889517877221364815242267636446330795114,-3244.8881471344967149480558243533804186598933465433
113,198070,-1.4622217141333204879387678149528516838169253598903E-7,-63.605561034263646327059300361316485945931426541149
114,198080,7.7832987190434914470353272122309670849617231135737E-7,364.28389331775810039790538898450045100257221584779
115,198090,-6.0432970653128280146484313404812859958850007235055E-7,-289.74144571014442313236531580621331141515878190330
116,198100,0.0000054439925464868712427351926582200696218018888789895,3209.7884573296085055344057918164338507632169933490
117,198110,-0.0000012165929534977318334848454630675853420976176294899,-592.23530649117025222891048687096803051945155717530
118,198120,-0.0000039872644200931549941642732934776542535149093661182,-2504.4386928765724852457071036377254112262121560126
119,198130,0.0000045171984978673387479043407084936833025004287858190,2732.8936394810785449622850609129186076820858221093
120,198140,7.5930795349778345625208688791762027263183975486923E-7,400.30716461063329641449959025415786114042743617786
121,198150,-0.0000013727750308295357581677874090757777664236398550176,-665.74976978397569692661703131597424546709128663878
122,198160,4.3722089994591677820282050869759435056910939964858E-7,186.46186754371216095741866704135313732178731255334
123,198170,-1.4165153939476716387190489097183160115943991839829E-7,-59.684123716006274630045874693715075557548002066152
124,198180,-0.0000037839815018244164247461093844428135580054376929897,-2397.6604219397151953411416032739832137655857186910
125,198190,-4.9215940392145721370693899174053818486883492193616E-7,-243.30100978434822840440749814721090893377321064891
126,198200,0.0000015936248988956244640502111782081192839091482487213,949.86242439089524609841464605734714207804606765529
127,198210,0.0000035648435959862666870171920429172984484502024940358,2135.9406601570728113332654560706189562038424421436
128,198220,-0.0000046229457885311702088032924112251490573574499022147,-2824.9442557942065830157493401932070909605773463213
129,198230,0.0000038957910889649022274188335209937521205871439990635,2445.2018312230707754818152751432630528981733505381
130,198240,-1.0657970582714364318452052362908285121483315085306E-7,-45.285702047956609319125090337616883811267751899186
131,198250,-8.5531006903909423385082960900945878461426417213978E-7,-425.74871533088032215748071079001547792043014536176
132,198260,9.9167976619893562856287278874740619199174785683178E-7,483.38117643050974847355986097134349937739707558330
133,198270,-0.0000044148823780503195985004028270731336610475225826158,-2700.2329694561985890919986728992833315487501376951
134,198280,0.0000044196186662552418317257456522937673153923880786709,2702.1733892272679918281327879670131404710508648835
135,198290,-0.0000015001855085744772067454035441582444737457621107316,-812.06602392264320361132682540875481512725957717485
136,198300,-0.0000023434085071045138325468102564598427705698495090867,-1612.0371831026608250390523959894330857839962733508
137,198310,-1.5482092994108202168387254710812012400668206963084E-7,-77.134187563425820353178124602473885819909615571103
138,198320,0.0000035254253148899002472065824290306174025352398460999,2296.3763325214983139887453383218712279447721507390
139,198330,-0.0000033921145403090390328660030728370003064547465559110,-2228.8186385808747371680485616832582826381207948145
140,198400,-0.0000041649502114027468301072052864284257491881190159734,28.823274405866016116761199007954419846428875176880
141,198410,0.0000083933620220003313430699845071166572536278241207134,2593.6857851678874265613232315067868096363102777212
142,198420,-0.0000036092913619167299419401313167177885663159387681285,-2325.6471974595472546532909643084974820513480976090
143,198430,-5.7751012592849278769744133159600665664758343211188E-7,-279.62682536740430938480682129320299336083222606747
144,198440,0.0000041403980808935121549054457021138798800787903255000,2585.1728972821504546733483432608687467183777639891
145,198450,-0.0000041269070313745416880732333343043961007592055340591,-2579.5448945601797131033222814756285796898027704553
146,198460,0.0000041543402697061906727023976249771923190913641490474,2591.0735591500921967246003606664106337536022205480
147,198470,-0.0000014085386437269575994511947718509628541195970591163,-802.46906605679439792903460773905583320682610668781
148,198480,-0.0000027413144408309056374662159337062467621827986927212,-1787.0510939782430138627388510774619723468184428677
149,198490,0.0000051136885608245435742366646459186839679629426068831,3085.8452469604713322765853036114406737054808738201
150,198500,-0.0000045000191554795759454358401135165079880225696566644,-2790.8412975385945053476851431692876859638502789822
151,198510,0.0000042695434947480983862038145376111609110823239843330,2678.3014507717021765261862590860694964862602091069
152,198520,1.7940173222456744741788332226095745653977138188374E-7,87.235267928486055827635747301039671883241136540466
153,198530,-0.0000011044005134723093682501015304868572107881427981067,-555.14030766422582119887097479888751443837186596429
154,198540,0.0000010722351250525643060605159957138211859415995215480,538.61296681622340305945133498650113632081951728420
155,198550,4.5230329512404240488287049706688944033577901652122E-8,23.018666448823469973534441495658262791077135854203
156,198560,-0.0000010565390342660025202116852528429837242416363471520,-535.38006193033827308376264770015246440663704145607
157,198570,2.4225872263402862385460919348578715389218694281004E-7,105.46212214694153181325201044816216262250802921325
158,198580,-3.9671526819267039752459665942415793663739575538866E-7,-173.88804512380525777925744978408120459174731902025
159,198590,0.0000012280824889739070443734053505775444403645210048864,612.59467802611156925212005837072397154214388166113
160,198600,-0.0000010004671580581540752308474205492566227221841674992,-512.44260824971322532750517811876689028364484946915
161,198610,-1.0802245555553003270969344372701004646541860042181E-7,-47.420996640567650669298424154350630999144786257514
162,198620,-3.1316553093992753341454198569315043277540320272084E-7,-166.04250365629395677127225784672644588177514818955
163,198630,-0.0000030000138808074477162293493210094857662392151139863,-2031.2934431265827955761093177976486748117714111178
164,198640,0.0000035548129667959003855484869906744075939981975843497,2302.9015160785712482182859552835763842452394262354
165,198650,1.9854972943305468061059836679222493585291707018478E-9,0.83878581772408160605408242061850515210550156429943
166,198660,2.7689011202591789960496398773605015130585236576730E-8,12.093776281473055803306054391877457764909117782001
167,198670,-1.9749993077541034854683615252227105646755776731152E-8,-8.7172434192104872306014771695916875258386589217019
168,198680,-3.3181701601842370868812783665728059928777948549560E-7,-148.59160683926936423364400493959272721862098584780
169,198690,-0.0000036636534974452644861545647186621869623765012919898,-2375.8300608690985047806442517878225072006605607490
170,198700,2.3509842501183984865915806965026236404909373514623E-8,10.133665760550504839231465279484465021653327484720
171,198710,2.6635217434289758049602981891745888891268266363984E-7,132.62139753026974660191053693889012760687157189060
172,198720,-2.4275667909819064489430897644112558023945826771871E-7,-122.58927676393660996066968005655909938414975604985
173,198730,1.4392215914107569773248433472331290118355974868826E-8,6.1630331185158943996101148008357504737381341182226
174,198740,-4.1143891513935194338460644703512999346528954418466E-9,-1.8482478151458483269778320744630618775289201118792
175,198750,1.1983210540584899199576917792328235071423843120938E-8,5.1291900093143442597538136711585739276952945872391
176,198760,2.1829274243185864990816627926400295004356566331783E-8,9.4293604576404798756769994240096828938794883827947
177,198770,1.1576586991314167034064181331149987885622837093343E-8,4.9990415550138253766482930354580192023882810312119
